td_sku_nbr,td_chain_nbr,td_last_update_dt
600459883,7,7/19/2018
600459880,7,7/19/2018
600459888,7,7/19/2018
600446422,7,7/20/2018
600446503,7,7/20/2018
600446501,7,7/20/2018
600446495,7,7/20/2018
600446497,7,7/20/2018
600446473,7,7/20/2018
600446454,7,7/20/2018
600446484,7,7/20/2018
600446481,7,7/20/2018
600446417,7,7/20/2018
600446424,7,7/20/2018
600446413,7,7/20/2018
600446441,7,7/20/2018
600460738,7,7/20/2018
600446447,7,7/20/2018
600446541,7,7/20/2018
600446496,7,7/20/2018
600460737,7,7/20/2018
600446901,7,7/23/2018
600446934,7,7/23/2018
600459807,7,7/24/2018
600446354,7,7/24/2018
600446375,7,7/24/2018
600446362,7,7/24/2018
600446372,7,7/24/2018
600464249,7,8/16/2018
600464246,7,8/16/2018
600464472,7,8/16/2018
600464247,7,8/16/2018
600464248,7,8/16/2018
600468538,7,8/28/2018
600474760,7,8/30/2018
600474761,7,8/30/2018
210065972,7,9/7/2018
600014590,7,9/7/2018
600014608,7,9/7/2018
600003165,7,9/7/2018
600235902,7,9/7/2018
600014558,7,9/7/2018
600044861,7,9/7/2018
600014619,7,9/7/2018
600003163,7,9/7/2018
600074878,7,9/7/2018
600014572,7,9/7/2018
600544643,7,1/24/2019
600544681,7,1/24/2019
600544684,7,1/24/2019
600544702,7,1/24/2019
600544636,7,1/24/2019
600544638,7,1/24/2019
600544694,7,1/24/2019
600372321,7,1/24/2019
600372331,7,1/24/2019
600544688,7,1/24/2019
600544641,7,1/24/2019
600544690,7,1/24/2019
600544703,7,1/24/2019
600372323,7,1/24/2019
600311292,7,2/3/2019
600311287,7,2/3/2019
600311290,7,2/3/2019
600311291,7,2/3/2019
600311288,7,2/3/2019
600322970,7,2/3/2019
600326939,7,2/3/2019
600322969,7,2/3/2019
600311286,7,2/3/2019
600311289,7,2/3/2019
600311285,7,2/3/2019
210306859,7,2/3/2019
600553841,7,2/5/2019
600564056,7,2/21/2019
600564044,7,2/21/2019
600610473,7,6/13/2019
600572748,7,6/20/2019
201444840,7,6/30/2019
600422473,7,7/7/2019
600422410,7,7/7/2019
600422411,7,7/7/2019
600422412,7,7/7/2019
600422416,7,7/7/2019
600422413,7,7/7/2019
600422414,7,7/7/2019
600422415,7,7/7/2019
600422417,7,7/7/2019
600416226,7,7/7/2019
600618575,7,7/18/2019
600629088,7,8/15/2019
600629337,7,8/15/2019
600626121,7,11/14/2019
600709484,7,5/27/2020
600709416,7,5/27/2020
600709417,7,5/27/2020
600709487,7,5/27/2020
600709430,7,5/27/2020
600709418,7,5/27/2020
600717160,7,5/27/2020
600717161,7,5/27/2020
600717159,7,5/27/2020
600717172,7,5/27/2020
600717170,7,5/27/2020
600717162,7,5/27/2020
600717168,7,5/27/2020
600717174,7,5/27/2020
600717467,7,5/27/2020
600717157,7,5/27/2020
600717415,7,5/27/2020
600717428,7,5/27/2020
600717425,7,5/27/2020
600717426,7,5/27/2020
600717420,7,5/27/2020
600717158,7,5/27/2020
600717056,7,5/27/2020
600717054,7,5/27/2020
600717462,7,5/27/2020
600717427,7,5/27/2020
600717136,7,5/27/2020
600717417,7,5/27/2020
600717253,7,5/27/2020
600717461,7,5/27/2020
600717418,7,5/27/2020
600717255,7,5/27/2020
600717459,7,5/27/2020
600717139,7,5/27/2020
600717457,7,5/27/2020
600717048,7,5/27/2020
600717450,7,5/27/2020
600707709,7,5/27/2020
600717478,7,5/27/2020
600717130,7,5/27/2020
600716822,7,5/27/2020
600717241,7,5/27/2020
600707701,7,5/27/2020
600707729,7,5/27/2020
600717446,7,5/27/2020
600717239,7,5/27/2020
600716728,7,5/27/2020
600707526,7,5/27/2020
600707746,7,5/27/2020
600717129,7,5/27/2020
600717412,7,5/27/2020
600717448,7,5/27/2020
600717123,7,5/27/2020
600717240,7,5/27/2020
600717409,7,5/27/2020
600717440,7,5/27/2020
600716823,7,5/27/2020
600717452,7,5/27/2020
600717444,7,5/27/2020
600716727,7,5/27/2020
600707738,7,5/27/2020
600707529,7,5/27/2020
600717477,7,5/27/2020
600717451,7,5/27/2020
600716732,7,5/27/2020
600707706,7,5/27/2020
600707516,7,5/27/2020
600717410,7,5/27/2020
600717128,7,5/27/2020
600717135,7,5/27/2020
600717476,7,5/27/2020
600716733,7,5/27/2020
600716731,7,5/27/2020
600717242,7,5/27/2020
600717369,7,5/27/2020
600717364,7,5/27/2020
600717354,7,5/27/2020
600717231,7,5/27/2020
600716640,7,5/27/2020
600717433,7,5/27/2020
600717398,7,5/27/2020
600717434,7,5/27/2020
600717252,7,5/27/2020
600717401,7,5/27/2020
600717121,7,5/27/2020
600717377,7,5/27/2020
600717357,7,5/27/2020
600717359,7,5/27/2020
600717373,7,5/27/2020
600717233,7,5/27/2020
600717376,7,5/27/2020
600716880,7,5/27/2020
600716758,7,5/27/2020
600716688,7,5/27/2020
600716693,7,5/27/2020
600716755,7,5/27/2020
600716642,7,5/27/2020
600709425,7,5/27/2020
600709480,7,5/27/2020
600717470,7,5/27/2020
600716736,7,5/27/2020
600717435,7,5/27/2020
600717399,7,5/27/2020
600716700,7,5/27/2020
600716707,7,5/27/2020
600717378,7,5/27/2020
600717355,7,5/27/2020
600717375,7,5/27/2020
600717234,7,5/27/2020
600716690,7,5/27/2020
600716751,7,5/27/2020
600716694,7,5/27/2020
600716754,7,5/27/2020
600716655,7,5/27/2020
600709429,7,5/27/2020
600717436,7,5/27/2020
600716827,7,5/27/2020
600717247,7,5/27/2020
600717249,7,5/27/2020
600717125,7,5/27/2020
600716705,7,5/27/2020
600717236,7,5/27/2020
600717379,7,5/27/2020
600717227,7,5/27/2020
600717361,7,5/27/2020
600717381,7,5/27/2020
600717237,7,5/27/2020
600717358,7,5/27/2020
600716958,7,5/27/2020
600716643,7,5/27/2020
600716759,7,5/27/2020
600716639,7,5/27/2020
600716841,7,5/27/2020
600717471,7,5/27/2020
600716826,7,5/27/2020
600716769,7,5/27/2020
